Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Cajamarca,0,1/2/2019,0,0,0,0
Callao,0,1/2/2019,0,0,0,0
Cusco,0,1/2/2019,0,0,0,0
Huancavelica,0,1/2/2019,0,0,0,0
Huánuco,0,1/2/2019,0,0,0,0
Ica,0,1/2/2019,0,0,0,0
Junín,0,1/2/2019,0,0,0,0
La Libertad,0,1/2/2019,0,0,0,0
Lambayeque,0,1/2/2019,0,0,0,0
Lima,0,1/2/2019,0,0,0,0
Lima Metropolitana,0,1/2/2019,0,0,0,0
Loreto,0,1/2/2019,0,0,0,0
Madre de Dios,0,1/2/2019,0,0,0,0
Moquegua,0,1/2/2019,0,0,0,0
Pasco,0,1/2/2019,0,0,0,0
Piura,0,1/2/2019,0,0,0,0
Puno,0,1/2/2019,0,0,0,0
San Martín,0,1/2/2019,0,0,0,0
Tacna,0,1/2/2019,0,0,0,0
Tumbes,0,1/2/2019,0,0,0,0
Ucayali,0,1/2/2019,0,0,0,0
Nacional,6,1/3/2022,1,1.5,1500,4
Amazonas,0,1/3/2022,0,0,0,0
Áncash,0,1/3/2022,0,0,0,0
Apurímac,0,1/3/2022,0,0,0,0
Arequipa,0,1/3/2022,0,0,0,0
Ayacucho,0,1/3/2022,0,0,0,0
Cajamarca,0,1/3/2022,0,0,0,0
Callao,0,1/3/2022,0,0,0,0
Cusco,0,1/3/2022,0,0,0,0
Huancavelica,0,1/3/2022,0,0,0,0
Huánuco,0,1/3/2022,0,0,0,0
Ica,6,1/3/2022,0,0,0,0
Junín,0,1/3/2022,0,0,0,0
La Libertad,0,1/3/2022,1,1.5,1500,4
Lambayeque,0,1/3/2022,0,0,0,0
Lima,0,1/3/2022,0,0,0,0
Lima Metropolitana,0,1/3/2022,0,0,0,0
Loreto,0,1/3/2022,0,0,0,0
Madre de Dios,0,1/3/2022,0,0,0,0
Moquegua,0,1/3/2022,0,0,0,0
Pasco,0,1/3/2022,0,0,0,0
Piura,0,1/3/2022,0,0,0,0
Puno,0,1/3/2022,0,0,0,0
San Martín,0,1/3/2022,0,0,0,0
Tacna,0,1/3/2022,0,0,0,0
Tumbes,0,1/3/2022,0,0,0,0
Ucayali,0,1/3/2022,0,0,0,0
Nacional,3,1/3/2021,0,0,0,0
Amazonas,0,1/3/2021,0,0,0,0
Áncash,0,1/3/2021,0,0,0,0
Apurímac,0,1/3/2021,0,0,0,0
Arequipa,0,1/3/2021,0,0,0,0
Ayacucho,0,1/3/2021,0,0,0,0
Cajamarca,0,1/3/2021,0,0,0,0
Callao,0,1/3/2021,0,0,0,0
Cusco,0,1/3/2021,0,0,0,0
Huancavelica,0,1/3/2021,0,0,0,0
Huánuco,0,1/3/2021,0,0,0,0
Ica,3,1/3/2021,0,0,0,0
Junín,0,1/3/2021,0,0,0,0
La Libertad,0,1/3/2021,0,0,0,0
Lambayeque,0,1/3/2021,0,0,0,0
Lima,0,1/3/2021,0,0,0,0
Lima Metropolitana,0,1/3/2021,0,0,0,0
Loreto,0,1/3/2021,0,0,0,0
Madre de Dios,0,1/3/2021,0,0,0,0
Moquegua,0,1/3/2021,0,0,0,0
Pasco,0,1/3/2021,0,0,0,0
Piura,0,1/3/2021,0,0,0,0
Puno,0,1/3/2021,0,0,0,0
San Martín,0,1/3/2021,0,0,0,0
Tacna,0,1/3/2021,0,0,0,0
Tumbes,0,1/3/2021,0,0,0,0
Ucayali,0,1/3/2021,0,0,0,0
Nacional,0,1/3/2020,0,0,0,0
Amazonas,0,1/3/2020,0,0,0,0
Áncash,0,1/3/2020,0,0,0,0
Apurímac,0,1/3/2020,0,0,0,0
Arequipa,0,1/3/2020,0,0,0,0
Ayacucho,0,1/3/2020,0,0,0,0
Cajamarca,0,1/3/2020,0,0,0,0
Callao,0,1/3/2020,0,0,0,0
Cusco,0,1/3/2020,0,0,0,0
Huancavelica,0,1/3/2020,0,0,0,0
Huánuco,0,1/3/2020,0,0,0,0
Ica,0,1/3/2020,0,0,0,0
Junín,0,1/3/2020,0,0,0,0
La Libertad,0,1/3/2020,0,0,0,0
Lambayeque,0,1/3/2020,0,0,0,0
Lima,0,1/3/2020,0,0,0,0
Lima Metropolitana,0,1/3/2020,0,0,0,0
Loreto,0,1/3/2020,0,0,0,0
Madre de Dios,0,1/3/2020,0,0,0,0
Moquegua,0,1/3/2020,0,0,0,0
Pasco,0,1/3/2020,0,0,0,0
Piura,0,1/3/2020,0,0,0,0
Puno,0,1/3/2020,0,0,0,0
San Martín,0,1/3/2020,0,0,0,0
Tacna,0,1/3/2020,0,0,0,0
Tumbes,0,1/3/2020,0,0,0,0
Ucayali,0,1/3/2020,0,0,0,0
Nacional,49,1/3/2019,6,9.519,1586.5,4.5
Amazonas,0,1/3/2019,0,0,0,0
Áncash,0,1/3/2019,0,0,0,0
Apurímac,0,1/3/2019,0,0,0,0
Arequipa,0,1/3/2019,0,0,0,0
Ayacucho,0,1/3/2019,0,0,0,0
Cajamarca,0,1/3/2019,0,0,0,0
Callao,0,1/3/2019,0,0,0,0
Cusco,0,1/3/2019,0,0,0,0
Huancavelica,0,1/3/2019,0,0,0,0
Huánuco,0,1/3/2019,0,0,0,0
Ica,49,1/3/2019,6,9.519,1586.5,4.5
Junín,0,1/3/2019,0,0,0,0
La Libertad,0,1/3/2019,0,0,0,0
Lambayeque,0,1/3/2019,0,0,0,0
Lima,0,1/3/2019,0,0,0,0
Lima Metropolitana,0,1/3/2019,0,0,0,0
Loreto,0,1/3/2019,0,0,0,0
